epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,4186.48,1.14005,0.6054,1.04384,0.77093,0.74499,0.77451,0.538,1.07446,0.47433,1.036,0.000523586,0.000523586,0.000523586
66,4250.17,1.13584,0.59339,1.03992,0.78207,0.74587,0.77856,0.54552,1.07035,0.46941,1.03427,0.000509438,0.000509438,0.000509438
67,4313.05,1.1372,0.59759,1.03941,0.7537,0.75637,0.78129,0.54672,1.06773,0.46639,1.03094,0.000495291,0.000495291,0.000495291
68,4375.55,1.14321,0.59842,1.04311,0.78146,0.76605,0.78996,0.55417,1.06054,0.46516,1.02921,0.000481144,0.000481144,0.000481144
69,4438.37,1.13569,0.58827,1.04061,0.78482,0.76307,0.78857,0.55113,1.06226,0.4625,1.03005,0.000466997,0.000466997,0.000466997
70,4500.95,1.12754,0.58639,1.03709,0.80689,0.75964,0.80033,0.56172,1.05686,0.46237,1.0278,0.00045285,0.00045285,0.00045285
71,4563.61,1.12323,0.58102,1.0375,0.81306,0.76159,0.80433,0.56691,1.05894,0.45772,1.02826,0.000438703,0.000438703,0.000438703
72,4626.61,1.12757,0.58595,1.03908,0.79843,0.77583,0.8074,0.56911,1.05473,0.45747,1.02597,0.000424556,0.000424556,0.000424556
73,4689.69,1.11473,0.56979,1.03375,0.82909,0.7741,0.81817,0.57717,1.05112,0.45307,1.02527,0.000410409,0.000410409,0.000410409
74,4752.41,1.11252,0.57092,1.0285,0.82025,0.78559,0.82072,0.57717,1.04896,0.45226,1.02447,0.000396262,0.000396262,0.000396262
75,4815.2,1.11163,0.56837,1.0352,0.81917,0.79563,0.83077,0.58975,1.04446,0.44949,1.02325,0.000382115,0.000382115,0.000382115
76,4877.58,1.11322,0.57311,1.03124,0.81881,0.79659,0.83263,0.58882,1.04088,0.4478,1.02166,0.000367967,0.000367967,0.000367967
77,4940.04,1.10954,0.56842,1.03106,0.81457,0.79669,0.83369,0.58914,1.04146,0.44439,1.02089,0.00035382,0.00035382,0.00035382
78,5003.08,1.10403,0.57041,1.02701,0.82395,0.801,0.83914,0.59622,1.03759,0.44545,1.02093,0.000339673,0.000339673,0.000339673
79,5065.78,1.09547,0.55966,1.02267,0.81655,0.80331,0.84035,0.59547,1.03667,0.44411,1.0196,0.000325526,0.000325526,0.000325526
80,5129.49,1.09894,0.56056,1.0279,0.85576,0.80599,0.85569,0.60995,1.03055,0.44191,1.0156,0.000311379,0.000311379,0.000311379
81,5192.77,1.09393,0.56273,1.02578,0.84117,0.82211,0.86148,0.61546,1.03099,0.43768,1.01575,0.000297232,0.000297232,0.000297232
82,5256.18,1.09205,0.55827,1.02254,0.8465,0.82606,0.86316,0.6147,1.02815,0.43736,1.01429,0.000283085,0.000283085,0.000283085
83,5319.7,1.09875,0.55766,1.02206,0.85457,0.82373,0.86934,0.62052,1.02679,0.43508,1.01297,0.000268938,0.000268938,0.000268938
84,5382.06,1.08315,0.55246,1.018,0.85216,0.8219,0.86396,0.61805,1.02155,0.43446,1.0115,0.000254791,0.000254791,0.000254791
